Comissão;Nome da Comissão;Indicado pelo;Condição;Nome Parlamentar;Partido;UF;Entrada;Gabinete;Anexo;Telefone;Fax;Tratamento
CAPADR;Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural;PDT;T;ASSIS DO COUTO;PDT;PR;22/03/2017;428;4;3215-5428;3215-2428;Exmo. Senhor Deputado
CAPADR;Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural;PDT;T;IZAQUE SILVA;PSDB;SP;22/03/2017;915;4;3215-5915;3215-2915;Exmo. Senhor Deputado
CAPADR;Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural;PDT;S;AFONSO MOTTA;PDT;RS;22/03/2017;711;4;3215-5711;3215-2711;Exmo. Senhor Deputado
CAPADR;Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural;PDT;S;MÁRIO HERINGER;PDT;MG;22/03/2017;;;;;Exmo. Senhor Deputado
CAPADR;Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural;PMDB/PP/PTB/DEM/PRB/SD/PSC/PHS/PODE/PMN/PRP/PSDC/PEN/PRTB;T;AFONSO HAMM;PP;RS;22/03/2017;604;4;3215-5604;3215-2604;Exmo. Senhor Deputado
CAPADR;Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural;PMDB/PP/PTB/DEM/PRB/SD/PSC/PHS/PODE/PMN/PRP/PSDC/PEN/PRTB;T;ALBERTO FRAGA;DEM;DF;22/03/2017;511;4;3215-5511;3215-2511;Exmo. Senhor Deputado
CAPADR;Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural;PMDB/PP/PTB/DEM/PRB/SD/PSC/PHS/PODE/PMN/PRP/PSDC/PEN/PRTB;T;ANDRÉ AMARAL;PMDB;PB;22/03/2017;276;3;3215-5276;3215-2276;Exmo. Senhor Deputado
CAPADR;Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural;PMDB/PP/PTB/DEM/PRB/SD/PSC/PHS/PODE/PMN/PRP/PSDC/PEN/PRTB;T;CELSO MALDANER;PMDB;SC;22/03/2017;311;4;3215-5311;3215-2311;Exmo. Senhor Deputado
CAPADR;Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural;PMDB/PP/PTB/DEM/PRB/SD/PSC/PHS/PODE/PMN/PRP/PSDC/PEN/PRTB;T;DILCEU SPERAFICO;PP;PR;22/03/2017;746;4;3215-5746;3215-2746;Exmo. Senhor Deputado
CAPADR;Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural;PMDB/PP/PTB/DEM/PRB/SD/PSC/PHS/PODE/PMN/PRP/PSDC/PEN/PRTB;T;DULCE MIRANDA;PMDB;TO;22/03/2017;530;4;3215-5530;3215-2530;Exma. Senhora Deputada
CAPADR;Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural;PMDB/PP/PTB/DEM/PRB/SD/PSC/PHS/PODE/PMN/PRP/PSDC/PEN/PRTB;T;FRANCISCO CHAPADINHA;PODE;PA;22/03/2017;385;3;3215-5385;3215-2385;Exmo. Senhor Deputado
CAPADR;Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural;PMDB/PP/PTB/DEM/PRB/SD/PSC/PHS/PODE/PMN/PRP/PSDC/PEN/PRTB;T;JERÔNIMO GOERGEN;PP;RS;22/03/2017;316;4;3215-5316;3215-2316;Exmo. Senhor Deputado
CAPADR;Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural;PMDB/PP/PTB/DEM/PRB/SD/PSC/PHS/PODE/PMN/PRP/PSDC/PEN/PRTB;T;JONY MARCOS;PRB;SE;22/03/2017;807;4;3215-5807;3215-2807;Exmo. Senhor Deputado
CAPADR;Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural;PMDB/PP/PTB/DEM/PRB/SD/PSC/PHS/PODE/PMN/PRP/PSDC/PEN/PRTB;T;JOSUÉ BENGTSON;PTB;PA;22/03/2017;505;4;3215-5505;3215-2505;Exmo. Senhor Deputado
