ano,mes,Transacoes correntes,Receitas,Despesas
1995,Jan,-1411.40,3985.12,5396.52
1995,Fev,-2053.38,3829.04,5882.42
1995,Mar,-2246.24,4734.66,6980.90
1995,Abr,-2878.64,4358.57,7237.21
1995,Mai,-1450.90,5299.17,6750.06
1995,Jun,-2327.11,5206.66,7533.77
1995,Jul,-1146.02,4877.67,6023.69
1995,Ago,-701.23,5643.66,6344.89
1995,Set,-574.21,5065.42,5639.64
1995,Out,-1946.71,5363.96,7310.67
1995,Nov,-811.11,5052.50,5863.61
1995,Dez,-1165.48,5129.32,6294.80
1996,Jan,-1283.60,4670.55,5954.14
1996,Fev,-683.94,4370.88,5054.82
1996,Mar,-1557.37,4370.80,5928.16
1996,Abr,-1739.15,5526.28,7265.43
1996,Mai,-941.03,5349.03,6290.07
1996,Jun,-1634.67,4976.81,6611.48
1996,Jul,-2407.64,5496.52,7904.17
1996,Ago,-1275.32,5490.72,6766.04
1996,Set,-2180.04,5033.91,7213.95
1996,Out,-3787.76,5352.84,9140.61
1996,Nov,-2032.23,4892.22,6924.45
1996,Dez,-4320.26,5039.76,9360.02
1997,Jan,-448.42,4890.80,5339.21
1997,Fev,-2054.27,4149.13,6203.40
1997,Mar,-2236.12,4821.60,7057.72
1997,Abr,-3788.48,5848.89,9637.37
1997,Mai,-1638.32,5698.74,7337.06
1997,Jun,-2477.64,6185.23,8662.87
1997,Jul,-3108.33,6492.40,9600.74
1997,Ago,-1754.33,6234.65,7988.98
1997,Set,-2431.28,5713.28,8144.57
1997,Out,-3840.49,5965.88,9806.37
1997,Nov,-3259.09,5055.59,8314.68
1997,Dez,-3815.24,5789.63,9604.87
1998,Jan,-2203.16,5056.76,7259.92
1998,Fev,-1556.43,4788.83,6345.26
1998,Mar,-2452.11,5651.68,8103.79
1998,Abr,-2869.28,5782.72,8652.00
1998,Mai,-2095.05,5686.08,7781.13
1998,Jun,-2509.64,6086.57,8596.21
1998,Jul,-2083.23,6309.47,8392.70
1998,Ago,-1812.39,5246.14,7058.52
1998,Set,-4888.37,5628.21,10516.58
1998,Out,-4998.88,5103.76,10102.64
1998,Nov,-2732.33,4859.09,7591.42
1998,Dez,-3691.34,5098.22,8789.56
1999,Jan,-2483.10,3925.09,6408.18
1999,Fev,-1064.87,4266.78,5331.66
1999,Mar,-2080.11,4892.98,6973.09
1999,Abr,-2668.89,4586.00,7254.89
1999,Mai,-1630.45,5236.98,6867.43
1999,Jun,-2976.97,5425.27,8402.25
1999,Jul,-1598.10,4969.68,6567.77
1999,Ago,-2036.68,5132.06,7168.75
1999,Set,-1394.65,5571.73,6966.38
1999,Out,-2526.14,5883.28,8409.42
1999,Nov,-2362.58,5121.09,7483.67
1999,Dez,-3046.89,5990.72,9037.61
2000,Jan,-955.72,4856.51,5812.23
2000,Fev,-1200.94,5318.66,6519.60
2000,Mar,-1940.40,5575.17,7515.57
2000,Abr,-3011.76,5198.03,8209.80
2000,Mai,-1639.09,6182.64,7821.73
2000,Jun,-2465.48,6034.70,8500.17
2000,Jul,-1364.40,6277.43,7641.83
2000,Ago,-1500.18,6662.59,8162.76
2000,Set,-1662.10,6492.66,8154.76
