CO_ANO,CO_MES,DIAS_UTEIS,US_FOB_EXP,KG_EXP,US_FOB_IMP,KG_IMP,SALDO_US_FOB,SALDO_KG,CORRENTE_US_FOB,CORRENTE_KG
2018,02,18,"17,315,096,600","43,244,277,989","12,408,033,497","10,953,383,811","4,907,063,103","32,290,894,178","29,723,130,097","54,197,661,800"
2018,01,22,"16,965,486,736","52,906,438,353","14,200,817,662","12,791,191,394","2,764,669,074","40,115,246,959","31,166,304,398","65,697,629,747"
2017,12,20,"17,595,284,030","54,978,446,912","12,597,512,127","12,422,131,931","4,997,771,903","42,556,314,981","30,192,796,157","67,400,578,843"
2017,11,20,"16,683,104,126","54,910,911,135","13,142,503,350","12,266,058,525","3,540,600,776","42,644,852,610","29,825,607,476","67,176,969,660"
2017,10,21,"18,871,943,089","60,907,419,127","13,678,839,517","11,870,033,252","5,193,103,572","49,037,385,875","32,550,782,606","72,777,452,379"
2017,09,20,"18,659,331,625","60,460,835,838","13,488,324,102","12,391,721,725","5,171,007,523","48,069,114,113","32,147,655,727","72,852,557,563"
2017,08,23,"19,470,944,987","64,491,678,966","13,879,229,349","13,227,021,369","5,591,715,638","51,264,657,597","33,350,174,336","77,718,700,335"
2017,07,21,"18,758,761,617","59,466,538,815","12,473,402,051","12,664,554,694","6,285,359,566","46,801,984,121","31,232,163,668","72,131,093,509"
2017,06,21,"19,779,117,924","64,078,757,573","12,595,230,268","13,181,377,260","7,183,887,656","50,897,380,313","32,374,348,192","77,260,134,833"
2017,05,22,"19,789,991,540","63,910,290,804","12,129,011,084","11,566,573,783","7,660,980,456","52,343,717,021","31,919,002,624","75,476,864,587"
2017,04,18,"17,679,825,632","49,075,252,610","10,716,651,947","10,613,726,113","6,963,173,685","38,461,526,497","28,396,477,579","59,688,978,723"
2017,03,23,"20,073,934,070","62,120,240,821","12,937,668,769","13,159,776,214","7,136,265,301","48,960,464,607","33,011,602,839","75,280,017,035"
2017,02,18,"15,468,687,009","47,015,672,359","10,913,268,165","11,852,318,438","4,555,418,844","35,163,353,921","26,381,955,174","58,867,990,797"
2017,01,22,"14,908,251,428","50,498,650,864","12,197,812,220","12,733,500,036","2,710,439,208","37,765,150,828","27,106,063,648","63,232,150,900"
2016,12,22,"15,940,640,971","52,516,156,361","11,525,482,231","12,357,913,313","4,415,158,740","40,158,243,048","27,466,123,202","64,874,069,674"
2016,11,20,"16,215,928,363","49,691,155,019","11,462,652,908","11,249,115,244","4,753,275,455","38,442,039,775","27,678,581,271","60,940,270,263"
2016,10,20,"13,713,132,417","47,788,106,629","11,375,442,181","10,487,392,849","2,337,690,236","37,300,713,780","25,088,574,598","58,275,499,478"
2016,09,21,"15,800,119,615","57,947,548,652","11,987,439,087","12,899,209,289","3,812,680,528","45,048,339,363","27,787,558,702","70,846,757,941"
2016,08,23,"16,986,462,166","58,632,572,387","12,848,449,517","12,812,621,836","4,138,012,649","45,819,950,551","29,834,911,683","71,445,194,223"
2016,07,21,"16,328,206,520","53,741,539,463","11,752,696,206","11,250,282,997","4,575,510,314","42,491,256,466","28,080,902,726","64,991,822,460"
2016,06,22,"16,738,066,984","54,360,109,615","12,769,486,773","12,041,546,336","3,968,580,211","42,318,563,279","29,507,553,757","66,401,655,951"
2016,05,21,"17,568,725,446","59,930,638,335","11,136,159,386","11,058,681,205","6,432,566,060","48,871,957,130","28,704,884,832","70,989,319,540"
2016,04,20,"15,371,763,216","55,034,748,049","10,509,741,662","11,406,060,056","4,862,021,554","43,628,687,993","25,881,504,878","66,440,808,105"
2016,03,22,"15,991,809,841","57,444,237,176","11,560,717,619","12,202,099,068","4,431,092,222","45,242,138,108","27,552,527,460","69,646,336,244"
2016,02,19,"13,342,876,253","53,073,149,788","10,301,097,607","10,887,086,717","3,041,778,646","42,186,063,071","23,643,973,860","63,960,236,505"
2016,01,20,"11,237,669,013","45,157,797,592","10,322,637,679","9,761,715,469","915,031,334","35,396,082,123","21,560,306,692","54,919,513,061"
2015,12,22,"16,783,231,319","64,761,256,074","10,543,233,761","10,880,526,108","6,239,997,558","53,880,729,966","27,326,465,080","75,641,782,182"
2015,11,20,"13,806,364,678","49,084,111,056","12,608,645,993","12,961,138,080","1,197,718,685","36,122,972,976","26,415,010,671","62,045,249,136"
2015,10,21,"16,048,986,692","59,635,966,803","14,053,112,480","13,289,160,551","1,995,874,212","46,346,806,252","30,102,099,172","72,925,127,354"
2015,09,21,"16,148,183,035","58,719,609,833","13,202,278,142","11,335,922,178","2,945,904,893","47,383,687,655","29,350,461,177","70,055,532,011"
2015,08,21,"15,485,353,065","50,275,339,960","12,794,392,709","9,140,893,655","2,690,960,356","41,134,446,305","28,279,745,774","59,416,233,615"
2015,07,23,"18,533,065,548","61,344,273,390","16,146,430,379","13,385,798,103","2,386,635,169","47,958,475,287","34,679,495,927","74,730,071,493"
2015,06,21,"19,628,438,412","59,232,314,273","15,099,376,197","13,132,112,826","4,529,062,215","46,100,201,447","34,727,814,609","72,364,427,099"
2015,05,20,"16,769,183,205","52,452,486,084","14,010,832,630","12,082,295,425","2,758,350,575","40,370,190,659","30,780,015,835","64,534,781,509"
2015,04,20,"15,156,274,767","48,825,786,883","14,666,063,420","12,029,810,535","490,211,347","36,795,976,348","29,822,338,187","60,855,597,418"
2015,03,22,"16,978,968,634","52,109,624,410","16,518,673,359","13,365,433,689","460,295,275","38,744,190,721","33,497,641,993","65,475,058,099"
2015,02,18,"12,092,230,670","39,026,631,166","14,932,172,572","12,204,650,134","-2,839,941,902","26,821,981,032","27,024,403,242","51,231,281,300"
2015,01,21,"13,704,044,559","42,159,658,390","16,873,839,267","12,665,211,534","-3,169,794,708","29,494,446,856","30,577,883,826","54,824,869,924"
2014,12,22,"17,490,736,905","56,964,863,600","17,192,626,339","13,918,208,103","298,110,566","43,046,655,497","34,683,363,244","70,883,071,703"
2014,11,20,"15,645,630,327","42,567,604,460","18,071,358,016","13,869,788,982","-2,425,727,689","28,697,815,478","33,716,988,343","56,437,393,442"
