"data";"valor"
"28/11/1984";"2814,0000"
"29/11/1984";"2814,0000"
"30/11/1984";"2867,0000"
"03/12/1984";"2867,0000"
"04/12/1984";"2867,0000"
"05/12/1984";"2908,0000"
"06/12/1984";"2908,0000"
"07/12/1984";"2908,0000"
"10/12/1984";"2950,0000"
"11/12/1984";"2950,0000"
"12/12/1984";"2950,0000"
"13/12/1984";"2950,0000"
"14/12/1984";"2993,0000"
"17/12/1984";"2993,0000"
"18/12/1984";"2993,0000"
"19/12/1984";"2993,0000"
"20/12/1984";"3041,0000"
"21/12/1984";"3041,0000"
"24/12/1984";"3041,0000"
"26/12/1984";"3091,0000"
"27/12/1984";"3091,0000"
"28/12/1984";"3168,0000"
"07/01/1985";"3228,0000"
"08/01/1985";"3228,0000"
"09/01/1985";"3228,0000"
"10/01/1985";"3228,0000"
"11/01/1985";"3301,0000"
"14/01/1985";"3301,0000"
"15/01/1985";"3301,0000"
"16/01/1985";"3376,0000"
"17/01/1985";"3376,0000"
"18/01/1985";"3376,0000"
"21/01/1985";"3376,0000"
"22/01/1985";"3441,0000"
"23/01/1985";"3441,0000"
"24/01/1985";"3441,0000"
"25/01/1985";"3441,0000"
"28/01/1985";"3494,0000"
"29/01/1985";"3494,0000"
"30/01/1985";"3494,0000"
"31/01/1985";"3567,0000"
"01/02/1985";"3567,0000"
"04/02/1985";"3567,0000"
"05/02/1985";"3567,0000"
"06/02/1985";"3567,0000"
"07/02/1985";"3638,0000"
"08/02/1985";"3638,0000"
"11/02/1985";"3710,0000"
"12/02/1985";"3710,0000"
"13/02/1985";"3710,0000"
"14/02/1985";"3783,0000"
"15/02/1985";"3783,0000"
"20/02/1985";"3783,0000"
"21/02/1985";"3856,0000"
"22/02/1985";"3856,0000"
"25/02/1985";"3916,0000"
"26/02/1985";"3916,0000"
"27/02/1985";"3916,0000"
"28/02/1985";"3931,0000"
"01/03/1985";"3931,0000"
"04/03/1985";"3931,0000"
"05/03/1985";"3997,0000"
"06/03/1985";"3997,0000"
"07/03/1985";"3997,0000"
"08/03/1985";"3997,0000"
"11/03/1985";"4068,0000"
"12/03/1985";"4068,0000"
"13/03/1985";"4068,0000"
"14/03/1985";"4140,0000"
"15/03/1985";"4140,0000"
