Month;Iron Ore Price (US Dollars per Dry Metric Ton);Soybeans Price (US Dollars per Metric Ton);Iron Ore ROC;Soybeans ROC;Iron Ore / Soybeans Price Ratio
01/01/1998;31.00;273.00;-;-;0.0011
01/02/1998;31.00;273.00;0.00 %;0.00 %;0.0011
01/03/1998;31.00;265.00;0.00 %;-2.93 %;0.0012
01/04/1998;31.00;259.00;0.00 %;-2.26 %;0.0012
01/05/1998;31.00;247.00;0.00 %;-4.63 %;0.0013
01/06/1998;31.00;242.00;0.00 %;-2.02 %;0.0013
01/07/1998;31.00;238.00;0.00 %;-1.65 %;0.0013
01/08/1998;31.00;219.00;0.00 %;-7.98 %;0.0014
01/09/1998;31.00;216.00;0.00 %;-1.37 %;0.0014
01/10/1998;31.00;223.00;0.00 %;3.24 %;0.0014
01/11/1998;31.00;234.00;0.00 %;4.93 %;0.0013
01/12/1998;31.00;230.00;0.00 %;-1.71 %;0.0013
01/01/1999;27.59;221.00;-11.00 %;-3.91 %;0.0012
01/02/1999;27.59;205.00;0.00 %;-7.24 %;0.0013
01/03/1999;27.59;205.00;0.00 %;0.00 %;0.0013
01/04/1999;27.59;207.00;0.00 %;0.98 %;0.0013
01/05/1999;27.59;199.00;0.00 %;-3.86 %;0.0014
01/06/1999;27.59;194.00;0.00 %;-2.51 %;0.0014
01/07/1999;27.59;183.00;0.00 %;-5.67 %;0.0015
01/08/1999;27.59;199.00;0.00 %;8.74 %;0.0014
01/09/1999;27.59;207.00;0.00 %;4.02 %;0.0013
01/10/1999;27.59;203.00;0.00 %;-1.93 %;0.0014
01/11/1999;27.59;198.00;0.00 %;-2.46 %;0.0014
01/12/1999;27.59;199.00;0.00 %;0.51 %;0.0014
01/01/2000;28.79;208.00;4.35 %;4.52 %;0.0014
01/02/2000;28.79;214.00;0.00 %;2.88 %;0.0013
01/03/2000;28.79;221.00;0.00 %;3.27 %;0.0013
01/04/2000;28.79;229.00;0.00 %;3.62 %;0.0013
01/05/2000;28.79;229.00;0.00 %;0.00 %;0.0013
01/06/2000;28.79;211.00;0.00 %;-7.86 %;0.0014
01/07/2000;28.79;197.00;0.00 %;-6.64 %;0.0015
01/08/2000;28.79;198.00;0.00 %;0.51 %;0.0015
01/09/2000;28.79;209.00;0.00 %;5.56 %;0.0014
01/10/2000;28.79;203.00;0.00 %;-2.87 %;0.0014
01/11/2000;28.79;206.00;0.00 %;1.48 %;0.0014
01/12/2000;28.79;217.00;0.00 %;5.34 %;0.0013
01/01/2001;30.03;210.00;4.31 %;-3.23 %;0.0014
01/02/2001;30.03;200.00;0.00 %;-4.76 %;0.0015
01/03/2001;30.03;195.00;0.00 %;-2.50 %;0.0015
01/04/2001;30.03;186.00;0.00 %;-4.62 %;0.0016
01/05/2001;30.03;184.00;0.00 %;-1.08 %;0.0016
01/06/2001;30.03;188.00;0.00 %;2.17 %;0.0016
01/07/2001;30.03;208.00;0.00 %;10.64 %;0.0014
01/08/2001;30.03;212.00;0.00 %;1.92 %;0.0014
01/09/2001;30.03;202.00;0.00 %;-4.72 %;0.0015
01/10/2001;30.03;187.00;0.00 %;-7.43 %;0.0016
01/11/2001;30.03;189.00;0.00 %;1.07 %;0.0016
01/12/2001;30.03;189.00;0.00 %;0.00 %;0.0016
01/01/2002;29.31;188.00;-2.40 %;-0.53 %;0.0016
01/02/2002;29.31;187.00;0.00 %;-0.53 %;0.0016
01/03/2002;29.31;191.00;0.00 %;2.14 %;0.0015
01/04/2002;29.31;195.00;0.00 %;2.09 %;0.0015
01/05/2002;29.31;197.00;0.00 %;1.03 %;0.0015
01/06/2002;29.31;200.00;0.00 %;1.52 %;0.0015
01/07/2002;29.31;218.00;0.00 %;9.00 %;0.0013
01/08/2002;29.31;227.00;0.00 %;4.13 %;0.0013
01/09/2002;29.31;236.00;0.00 %;3.96 %;0.0012
01/10/2002;29.31;229.00;0.00 %;-2.97 %;0.0013
01/11/2002;29.31;243.00;0.00 %;6.11 %;0.0012
01/12/2002;29.31;241.00;0.00 %;-0.82 %;0.0012
01/01/2003;31.95;244.00;9.01 %;1.24 %;0.0013
01/02/2003;31.95;243.00;0.00 %;-0.41 %;0.0013
01/03/2003;31.95;241.00;0.00 %;-0.82 %;0.0013
01/04/2003;31.95;251.00;0.00 %;4.15 %;0.0013
01/05/2003;31.95;250.00;0.00 %;-0.40 %;0.0013
